Author,UppercaseLetter,UppercaseLetter_pertokens,LowercaseLetter,LowercaseLetter_pertokens,TitlecaseLetter,TitlecaseLetter_pertokens,ModifierLetter,ModifierLetter_pertokens,OtherLetter,OtherLetter_pertokens,NonSpacingMark,NonSpacingMark_pertokens,SpacingCombiningMark,SpacingCombiningMark_pertokens,EnclosingMark,EnclosingMark_pertokens,DecimalDigitNumber,DecimalDigitNumber_pertokens,LetterNumber,LetterNumber_pertokens,OtherNumber,OtherNumber_pertokens,SpaceSeparator,SpaceSeparator_pertokens,LineSeparator,LineSeparator_pertokens,ParagraphSeparator,ParagraphSeparator_pertokens,Control,Control_pertokens,Format,Format_pertokens,Surrogate,Surrogate_pertokens,PrivateUse,PrivateUse_pertokens,ConnectorPunctuation,ConnectorPunctuation_pertokens,DashPunctuation,DashPunctuation_pertokens,OpenPunctuation,OpenPunctuation_pertokens,ClosePunctuation,ClosePunctuation_pertokens,InitialQuotePunctuation,InitialQuotePunctuation_pertokens,FinalQuotePunctuation,FinalQuotePunctuation_pertokens,OtherPunctuation,OtherPunctuation_pertokens,MathSymbol,MathSymbol_pertokens,CurrencySymbol,CurrencySymbol_pertokens,ModifierSymbol,ModifierSymbol_pertokens,OtherSymbol,OtherSymbol_pertokens,OtherNotAssigned,OtherNotAssigned_pertokens,Toperror,Righterror,Downerror,Lefterror,Misspellratio,Tokens
13, 38,1.226,60,1.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1.839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.105,31
13, 12,0.286,125,2.976,0,0,0,0,0,0,0,0,0,0,0,0,6,0.143,0,0,0,0,63,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.033,42
13, 25,0.15,582,3.485,0,0,0,0,0,0,0,0,0,0,0,0,1,0.006,0,0,0,0,186,1.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.018,1,0.006,1,0.006,0,0,0,0,36,0.216,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0.133,167
13, 64,0.174,1188,3.228,0,0,0,0,0,0,0,0,0,0,0,0,10,0.027,0,0,0,0,357,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.008,3,0.008,3,0.008,0,0,0,0,63,0.171,0,0,4,0.011,0,0,0,0,0,0,0,0,0,0,0.004,368
13, 16,0.099,590,3.665,0,0,0,0,0,0,0,0,0,0,0,0,3,0.019,0,0,0,0,170,1.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.031,1,0.006,1,0.006,0,0,0,0,32,0.199,0,0,0,0,0,0,0,0,0,0,1,4,0,5,0.118,161
13, 18,0.277,211,3.246,0,0,0,0,0,0,0,0,0,0,0,0,2,0.031,0,0,0,0,93,1.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.031,1,0.015,1,0.015,0,0,0,0,17,0.262,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.089,65
19, 6,0.125,158,3.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
19, 50,0.207,792,3.273,0,0,0,0,0,0,0,0,0,0,0,0,5,0.021,0,0,0,0,228,0.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.012,3,0.012,0,0,0,0,48,0.198,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.031,242
19, 11,0.099,388,3.495,0,0,0,0,0,0,0,0,0,0,0,0,1,0.009,0,0,0,0,115,1.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.153,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.013,111
19, 9,0.148,185,3.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,1.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,61
19, 7,0.088,261,3.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0.5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.036,80
19, 6,0.13,141,3.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
21, 46,0.086,2217,4.128,0,0,0,0,0,0,0,0,0,0,0,0,5,0.009,0,0,0,0,558,1.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.004,0,0,0,0,1,0.002,14,0.026,64,0.119,98,0.182,0,0,0,0,0,0,0,0,0,3,0,1,0.03,537
21, 48,0.118,1686,4.143,0,0,0,0,0,0,0,0,0,0,0,0,4,0.01,0,0,0,0,415,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.005,1,0.002,1,0.002,2,0.005,11,0.027,51,0.125,98,0.241,0,0,0,0,0,0,0,0,0,3,0,1,0.037,407
21, 51,0.123,1713,4.148,0,0,0,0,0,0,0,0,0,0,0,0,4,0.01,0,0,0,0,401,0.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.002,1,0.002,1,0.002,2,0.005,12,0.029,51,0.123,98,0.237,0,0,0,0,0,0,0,0,0,3,0,1,0.033,413
21, 104,0.115,3432,3.792,0,0,0,0,0,0,0,0,0,0,0,0,21,0.023,0,0,0,0,917,1.013,0,0,0,0,0,0,0,0,0,0,0,0,7,0.008,3,0.003,2,0.002,5,0.006,1,0.001,13,0.014,108,0.119,112,0.124,0,0,0,0,0,0,0,0,5,5,0,7,0.045,905
21, 60,0.106,2239,3.956,0,0,0,0,0,0,0,0,0,0,0,0,5,0.009,0,0,0,0,607,1.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.002,0,0,3,0.005,6,0.011,18,0.032,63,0.111,112,0.198,0,0,0,0,0,0,0,0,0,3,0,1,0.052,566
21, 4,1,15,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.333,4
22, 67,0.19,1244,3.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0.884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.011,0,0,0,0,0,0,0,0,72,0.204,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0.025,353
22, 14,0.25,171,3.054,0,0,0,0,0,0,0,0,0,0,0,0,7,0.125,0,0,0,0,58,1.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.018,1,0.018,0,0,0,0,7,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.056,56
22, 47,0.138,1266,3.724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,0.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0.138,0,0,0,0,0,0,0,0,0,0,1,7,0,2,0.027,340
22, 12,0.207,119,2.052,0,0,0,0,0,0,0,0,0,0,0,0,18,0.31,0,0,0,0,64,1.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.345,0,0,1,0.017,0,0,0,0,0,0,1,1,0,2,0.125,58
22, 15,0.3,160,3.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,58,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,1,0.02,0,0,0,0,9,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,50
22, 5,0.294,68,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.176,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.357,17
25, 0,0,2481,3.534,0,0,0,0,0,0,0,0,0,0,0,0,24,0.034,0,0,0,0,612,0.872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.004,6,0.009,11,0.016,0,0,0,0,157,0.224,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0.088,702
25, 0,0,2860,3.496,0,0,0,0,0,0,0,0,0,0,0,0,22,0.027,0,0,0,0,778,0.951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.01,15,0.018,16,0.02,0,0,0,0,109,0.133,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0.06,818
25, 0,0,1226,3.322,0,0,0,0,0,0,0,0,0,0,0,0,13,0.035,0,0,0,0,339,0.919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.005,2,0.005,0,0,0,0,79,0.214,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0.101,369
25, 0,0,4103,3.59,0,0,0,0,0,0,0,0,0,0,0,0,22,0.019,0,0,0,0,1068,0.934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.003,12,0.01,12,0.01,0,0,0,0,194,0.17,0,0,0,0,0,0,0,0,0,0,0,12,1,15,0.048,1143
25, 0,0,1690,3.558,0,0,0,0,0,0,0,0,0,0,0,0,3,0.006,0,0,0,0,463,0.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.017,11,0.023,0,0,0,0,58,0.122,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0.029,475
