Author,UppercaseLetter,UppercaseLetter_pertokens,LowercaseLetter,LowercaseLetter_pertokens,TitlecaseLetter,TitlecaseLetter_pertokens,ModifierLetter,ModifierLetter_pertokens,OtherLetter,OtherLetter_pertokens,NonSpacingMark,NonSpacingMark_pertokens,SpacingCombiningMark,SpacingCombiningMark_pertokens,EnclosingMark,EnclosingMark_pertokens,DecimalDigitNumber,DecimalDigitNumber_pertokens,LetterNumber,LetterNumber_pertokens,OtherNumber,OtherNumber_pertokens,SpaceSeparator,SpaceSeparator_pertokens,LineSeparator,LineSeparator_pertokens,ParagraphSeparator,ParagraphSeparator_pertokens,Control,Control_pertokens,Format,Format_pertokens,Surrogate,Surrogate_pertokens,PrivateUse,PrivateUse_pertokens,ConnectorPunctuation,ConnectorPunctuation_pertokens,DashPunctuation,DashPunctuation_pertokens,OpenPunctuation,OpenPunctuation_pertokens,ClosePunctuation,ClosePunctuation_pertokens,InitialQuotePunctuation,InitialQuotePunctuation_pertokens,FinalQuotePunctuation,FinalQuotePunctuation_pertokens,OtherPunctuation,OtherPunctuation_pertokens,MathSymbol,MathSymbol_pertokens,CurrencySymbol,CurrencySymbol_pertokens,ModifierSymbol,ModifierSymbol_pertokens,OtherSymbol,OtherSymbol_pertokens,OtherNotAssigned,OtherNotAssigned_pertokens,Toperror,Righterror,Downerror,Lefterror,Misspellratio,Tokens
13, 38,1.226,60,1.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1.839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.105,31
13, 12,0.286,125,2.976,0,0,0,0,0,0,0,0,0,0,0,0,6,0.143,0,0,0,0,63,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.033,42
13, 25,0.15,582,3.485,0,0,0,0,0,0,0,0,0,0,0,0,1,0.006,0,0,0,0,186,1.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.018,1,0.006,1,0.006,0,0,0,0,36,0.216,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0.133,167
13, 64,0.174,1188,3.228,0,0,0,0,0,0,0,0,0,0,0,0,10,0.027,0,0,0,0,357,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.008,3,0.008,3,0.008,0,0,0,0,63,0.171,0,0,4,0.011,0,0,0,0,0,0,0,0,0,0,0.004,368
13, 16,0.099,590,3.665,0,0,0,0,0,0,0,0,0,0,0,0,3,0.019,0,0,0,0,170,1.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.031,1,0.006,1,0.006,0,0,0,0,32,0.199,0,0,0,0,0,0,0,0,0,0,1,4,0,5,0.118,161
13, 18,0.277,211,3.246,0,0,0,0,0,0,0,0,0,0,0,0,2,0.031,0,0,0,0,93,1.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.031,1,0.015,1,0.015,0,0,0,0,17,0.262,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.089,65
13, 93,0.168,1839,3.319,0,0,0,0,0,0,0,0,0,0,0,0,17,0.031,0,0,0,0,508,0.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.018,6,0.011,6,0.011,0,0,0,0,110,0.199,0,0,0,0,0,0,0,0,0,0,1,3,1,5,0.049,554
13, 33,0.182,667,3.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,1.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.155,0,0,0,0,0,0,0,0,0,0,1,2,0,4,0.033,181
13, 18,1.125,58,3.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.25,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0.308,16
13, 40,0.114,1201,3.422,0,0,0,0,0,0,0,0,0,0,0,0,6,0.017,0,0,0,0,343,0.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.04,2,0.006,3,0.009,0,0,0,0,57,0.162,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0.031,351
13, 94,0.166,1834,3.246,0,0,0,0,0,0,0,0,0,0,0,0,23,0.041,0,0,0,0,511,0.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.018,6,0.011,6,0.011,0,0,0,0,122,0.216,0,0,3,0.005,0,0,0,0,0,0,4,3,0,6,0.073,565
13, 20,0.172,437,3.767,0,0,0,0,0,0,0,0,0,0,0,0,4,0.034,0,0,0,0,141,1.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.06,0,0,0,0,0,0,0,0,16,0.138,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0.103,116
13, 13,0.131,308,3.111,0,0,0,0,0,0,0,0,0,0,0,0,7,0.071,0,0,0,0,107,1.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.02,0,0,0,0,0,0,0,0,28,0.283,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.061,99
13, 21,0.154,487,3.581,0,0,0,0,0,0,0,0,0,0,0,0,1,0.007,0,0,0,0,151,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.206,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.064,136
13, 23,0.174,461,3.492,0,0,0,0,0,0,0,0,0,0,0,0,8,0.061,0,0,0,0,147,1.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.03,1,0.008,2,0.015,0,0,0,0,24,0.182,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.053,132
10, 33,0.132,916,3.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,1.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.008,1,0.004,1,0.004,0,0,0,0,27,0.108,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0.012,250
10, 32,0.186,634,3.686,0,0,0,0,0,0,0,0,0,0,0,0,1,0.006,0,0,0,0,179,1.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.006,0,0,0,0,35,0.203,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.026,172
10, 25,0.255,366,3.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,1.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.194,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.043,98
10, 19,0.158,493,4.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,1.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.025,0,0,0,0,0,0,0,0,19,0.158,1,0.008,0,0,0,0,0,0,0,0,0,9,0,3,0.079,120
10, 35,0.167,768,3.657,0,0,0,0,0,0,0,0,0,0,0,0,1,0.005,0,0,0,0,224,1.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.029,0,0,0,0,0,0,0,0,35,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.026,210
10, 0,0,11,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
10, 16,0.096,559,3.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,1.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.006,0,0,0,0,0,0,0,0,32,0.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166
10, 15,0.113,457,3.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,1.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.008,0,0,0,0,0,0,0,0,18,0.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133
10, 20,0.143,442,3.157,0,0,0,0,0,0,0,0,0,0,0,0,2,0.014,0,0,0,0,150,1.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.021,1,0.007,1,0.007,0,0,0,0,24,0.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140
10, 32,0.149,755,3.512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,1.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,215
10, 34,0.173,682,3.48,0,0,0,0,0,0,0,0,0,0,0,0,8,0.041,0,0,0,0,209,1.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.02,2,0.01,2,0.01,0,0,0,0,34,0.173,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.052,196
10, 58,0.191,1124,3.71,0,0,0,0,0,0,0,0,0,0,0,0,10,0.033,0,0,0,0,305,1.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.013,3,0.01,3,0.01,0,0,0,0,48,0.158,1,0.003,1,0.003,0,0,0,0,0,0,0,15,0,4,0.085,303
10, 9,0.214,134,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,42
10, 58,0.178,1150,3.538,0,0,0,0,0,0,0,0,0,0,0,0,3,0.009,0,0,0,0,329,1.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.012,0,0,0,0,0,0,0,0,48,0.148,1,0.003,0,0,0,0,0,0,0,0,0,3,1,1,0.041,325
