Author,UppercaseLetter,UppercaseLetter_pertokens,LowercaseLetter,LowercaseLetter_pertokens,TitlecaseLetter,TitlecaseLetter_pertokens,ModifierLetter,ModifierLetter_pertokens,OtherLetter,OtherLetter_pertokens,NonSpacingMark,NonSpacingMark_pertokens,SpacingCombiningMark,SpacingCombiningMark_pertokens,EnclosingMark,EnclosingMark_pertokens,DecimalDigitNumber,DecimalDigitNumber_pertokens,LetterNumber,LetterNumber_pertokens,OtherNumber,OtherNumber_pertokens,SpaceSeparator,SpaceSeparator_pertokens,LineSeparator,LineSeparator_pertokens,ParagraphSeparator,ParagraphSeparator_pertokens,Control,Control_pertokens,Format,Format_pertokens,Surrogate,Surrogate_pertokens,PrivateUse,PrivateUse_pertokens,ConnectorPunctuation,ConnectorPunctuation_pertokens,DashPunctuation,DashPunctuation_pertokens,OpenPunctuation,OpenPunctuation_pertokens,ClosePunctuation,ClosePunctuation_pertokens,InitialQuotePunctuation,InitialQuotePunctuation_pertokens,FinalQuotePunctuation,FinalQuotePunctuation_pertokens,OtherPunctuation,OtherPunctuation_pertokens,MathSymbol,MathSymbol_pertokens,CurrencySymbol,CurrencySymbol_pertokens,ModifierSymbol,ModifierSymbol_pertokens,OtherSymbol,OtherSymbol_pertokens,OtherNotAssigned,OtherNotAssigned_pertokens,misspellratio,tokens
Justin Lee, 244,0.111,9455,4.284,0,0,0,0,0,0,0,0,0,0,0,0,30,0.014,0,0,0,0,1888,0.855,0,0,0,0,94,0.043,0,0,0,0,0,0,0,0,35,0.016,13,0.006,13,0.006,10,0.005,70,0.032,275,0.125,2,0.001,0,0,0,0,0,0,0,0,0.204,2207
Justin Lee, 158,0.103,6819,4.46,0,0,0,0,0,0,0,0,0,0,0,0,38,0.025,0,0,0,0,1317,0.861,0,0,0,0,50,0.033,0,0,0,0,0,0,0,0,40,0.026,3,0.002,3,0.002,3,0.002,39,0.026,208,0.136,1,0.001,0,0,0,0,0,0,0,0,0.192,1529
Conor Dewey, 148,0.102,6045,4.16,0,0,0,0,0,0,0,0,0,0,0,0,7,0.005,0,0,0,0,1303,0.897,0,0,0,0,38,0.026,0,0,0,0,0,0,1,0.001,11,0.008,4,0.003,4,0.003,1,0.001,21,0.014,146,0.1,1,0.001,0,0,0,0,0,0,0,0,0.157,1453
Conor Dewey, 116,0.112,4458,4.32,0,0,0,0,0,0,0,0,0,0,0,0,10,0.01,0,0,0,0,934,0.905,0,0,0,0,22,0.021,0,0,0,0,0,0,0,0,7,0.007,1,0.001,1,0.001,1,0.001,31,0.03,99,0.096,1,0.001,0,0,0,0,0,0,0,0,0.181,1032
Emmanuel Ameisen, 328,0.126,10714,4.108,0,0,0,0,0,0,0,0,0,0,0,0,31,0.012,0,0,0,0,2329,0.893,0,0,0,0,46,0.018,0,0,0,0,0,0,0,0,14,0.005,22,0.008,23,0.009,0,0,13,0.005,262,0.1,2,0.001,0,0,0,0,0,0,0,0,0.172,2608
Emmanuel Ameisen, 297,0.107,11905,4.307,0,0,0,0,0,0,0,0,0,0,0,0,46,0.017,0,0,0,0,2525,0.914,0,0,0,0,59,0.021,0,0,0,0,0,0,0,0,12,0.004,15,0.005,15,0.005,13,0.005,25,0.009,261,0.094,0,0,0,0,0,0,0,0,0,0,0.169,2764
Abhishek Parbhakar, 125,0.125,4532,4.541,0,0,0,0,0,0,0,0,0,0,0,0,12,0.012,0,0,0,0,870,0.872,0,0,0,0,33,0.033,0,0,0,0,0,0,3,0.003,0,0,6,0.006,6,0.006,19,0.019,23,0.023,112,0.112,1,0.001,0,0,1,0.001,0,0,0,0,0.178,998
Abhishek Parbhakar, 41,0.133,1567,5.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0.896,0,0,0,0,12,0.039,0,0,0,0,0,0,0,0,2,0.006,0,0,0,0,0,0,2,0.006,33,0.107,0,0,0,0,0,0,0,0,0,0,0.214,308
Adam Geitgey, 236,0.074,12839,4.011,0,0,0,0,34,0.011,19,0.006,0,0,0,0,100,0.031,0,0,0,0,2896,0.905,0,0,0,0,77,0.024,2,0.001,0,0,0,0,2,0.001,21,0.007,11,0.003,11,0.003,12,0.004,76,0.024,303,0.095,0,0,4,0.001,0,0,0,0,0,0,0.149,3201
Adam Geitgey, 331,0.104,13802,4.332,0,0,0,0,11,0.003,5,0.002,0,0,0,0,52,0.016,0,0,0,0,2882,0.905,0,0,0,0,89,0.028,0,0,0,0,0,0,0,0,52,0.016,14,0.004,14,0.004,12,0.004,67,0.021,278,0.087,2,0.001,0,0,0,0,0,0,0,0,0.174,3186
Netflix Technology Blog, 196,0.099,8711,4.391,0,0,0,0,0,0,0,0,0,0,0,0,95,0.048,0,0,0,0,1847,0.931,0,0,0,0,23,0.012,0,0,0,0,0,0,0,0,12,0.006,4,0.002,4,0.002,6,0.003,13,0.007,194,0.098,0,0,2,0.001,0,0,0,0,0,0,0.151,1984
Netflix Technology Blog, 203,0.097,9391,4.466,0,0,0,0,0,0,0,0,0,0,0,0,22,0.01,0,0,0,0,1916,0.911,0,0,0,0,25,0.012,0,0,0,0,0,0,0,0,13,0.006,11,0.005,11,0.005,3,0.001,8,0.004,209,0.099,7,0.003,1,0,0,0,0,0,0,0,0.15,2103
Arjan Haring 🔮🔨, 196,0.099,8455,4.283,0,0,0,0,0,0,1,0.001,0,0,0,0,23,0.012,0,0,0,0,1753,0.888,0,0,0,0,35,0.018,0,0,0,0,0,0,0,0,17,0.009,15,0.008,17,0.009,3,0.002,33,0.017,231,0.117,0,0,0,0,0,0,0,0,0,0,0.177,1974
Arjan Haring 🔮🔨, 146,0.119,5739,4.685,0,0,0,0,0,0,0,0,0,0,0,0,19,0.016,0,0,0,0,1104,0.901,0,0,0,0,31,0.025,0,0,0,0,0,0,0,0,14,0.011,13,0.011,13,0.011,5,0.004,17,0.014,126,0.103,1,0.001,0,0,0,0,0,0,0,0,0.197,1225
AirbnbEng, 260,0.115,10505,4.636,0,0,0,0,0,0,0,0,0,0,0,0,20,0.009,0,0,0,0,2078,0.917,0,0,0,0,29,0.013,0,0,0,0,0,0,0,0,35,0.015,7,0.003,7,0.003,3,0.001,16,0.007,236,0.104,2,0.001,0,0,0,0,0,0,0,0,0.154,2266
